Name,Category,Region,Website,Phone,Email
"Karay Mario","restaurant","Central","http://www.karaymario.com/","+230 630 1682",
"Kreola Car Rental","car_rental","Central","http://www.kreola.mu/","+230 466 0989",
"L'Alchimiste","restaurant","North","http://www.rhumeriedechamarel.com/","+230 483 4980",
"L'Aventure du Sucre","tour","North","https://aventuredusucre.com/fr/","+230 243 7900",
"L'Aventure du Sucre Restaurant","restaurant","North","https://aventuredusucre.com/fr/","+230 243 7900",
"La Bonne Chute","restaurant","West","http://www.labonnechuterestaurantandbar.com/","+230 483 6552",
"La Clef des Champs","restaurant","South","http://www.laclefdeschamps.mu/","+230 686 3458",
"La Croisette","retail","North","http://gblc.mu/","+230 209 2000",
"La Rougaille Creole","restaurant","North","","+230 263 8449",
"La Vallée des Couleurs","tour","South","https://www.vallepark.com/","+230 660 4477",
"Lagoon Attitude","hotel","North","https://hotels-attitude.com/en/lagoon-attitude","+230 204 8800",
"Lambic","restaurant","North","","+230 212 6011",
"Le Barachois","restaurant","East","","",
"Le Capitaine","restaurant","North","https://www.lecapitaine.restaurant/","+230 5253 5505",
"Le Capitaine Seafood","restaurant","North","https://www.lecapitaine.restaurant/","+230 5253 5505",
"Le Chamarel Restaurant","restaurant","West","https://www.lechamarelrestaurant.com/","+230 483 4421",
"Le Chateau de Bel Ombre","restaurant","South","https://www.lechateaudebelombre.com/","+230 5511 5888",
"Le Courtyard","restaurant","Port Louis","https://www.le-courtyard.com/","+230 210 0810",
"Le Craft Market Flic en Flac","retail","West","","+230 211 9500",
"Le Fangourin","restaurant","South","https://aventuredusucre.com/fr/le-musee/#le-restaurant-le-fangourin","+230 243 7900",
"Le Jadis Hotel & Spa","hotel","North","https://www.lejadis.com/","+230 204 1888",
"Le Jadis Spa & Wellness","spa","North","https://www.lejadis.com/","+230 204 1888",
"Le Palmiste Resort & Spa","hotel","North","https://www.hotel-lepalmiste.mu/index.php/en/","+230 265 6815",
"Le Pescatore","restaurant","North","http://www.lepescatore.com/","+230 265 6337",
"Le Spa by Clarins","spa","West","https://www.oneandonlyresorts.com/le-saint-geran/experiences/guerlain-spa?utm_medium=organic-search&utm_source=gbp&utm_campaign=gbp_ao_y_oolsg_pri-mkt_wt__ao__kz&utm_content=__&utm_term=&utm_id=pdoz8z","+230 401 1688",
"Long Beach Golf & Spa Resort","hotel","East","https://www.yoursunlife.com/longbeachmauritius/?%2Futm_source=google&utm_medium=local&utm_campaign=hotel-longbeach","+230 401 1919",
"Luscious Spa and Beauty","spa","North","","+230 5775 8168",
"LUX Grand Gaube","hotel","North","https://www.luxresorts.com/en/mauritius/hotel/luxgrandgaube","+230 204 9191",
"LUX Le Morne","hotel","West","https://www.luxresorts.com/en/mauritius/hotel/luxlemorne","+230 401 4000",
"LUX* Grand Baie","hotel","North","https://www.luxresorts.com","+230 209 8000",
"Mahebourg Monday Market","retail","South","","",
"Mahebourg Waterfront","retail","South","","+230 5946 9721",
"Maison de Sante Spa","spa","Central","http://www.sannyasa.org/","+230 5825 9553",
"Maison Sasha Hair & Beauty","services","Central","https://www.maison-sasha.com/","+230 674 7014",
"Maki Car Rental","car_rental","West","https://www.maki-car-rental.com/rent-a-car/mauritius.html","+230 5250 1260",
"Maradiva Villas Resort & Spa","hotel","West","http://www.maradiva.com/","+230 403 1500",
"Marry Me Mauritius","services","West","http://mauritius-events.de/","+230 5782 8128",
"Mauricia Beachcomber Resort & Spa","hotel","North","https://www.beachcomber-hotels.com/en/hotel/mauricia-beachcomber","+230 209 1100",
"Mauritius Aquarium","tour","North","http://www.odysseomauritius.com/","+230 659 8000",
"Mauritius Car Rental","car_rental","South","https://www.mauritiuscarental.com/","+230 5257 4888",
"Mauritius Guided Tours","tour","Central","https://mauritiusguidedtours.com/","+230 5940 3007",
"Mauritius Sotheby's International Realty","services","Central","https://www.sothebysrealty.mu/","+230 268 2414",
"MGC Wellness Centre","spa","Central","https://www.lesmariannes.com/","+230 243 8387",
"Mooi Hair Salon","services","North","https://mooi.hair/","+230 5258 8625",
"Morisoleil Car Rental","car_rental","South","","+230 5254 2424",
"Mystik Lifestyle Hotel","hotel","North","https://newmarkhotels.com/accommodation/mystik-lifestyle-boutique-hotel","+230 204 5500",
"Namaste Restaurant","restaurant","Port Louis","https://namaste.restaurant.mu/","+230 5256 3864",
"Natural Massage Centre","spa","North","http://www.sourcenaturalmassage.com/","+230 5491 6219",
"Ocean Harmony Spa","spa","North","","+230 5875 6182",
"Ocean Restaurant","restaurant","North","","+230 5931 6782",
"Oceane Cruises","tour","West","http://www.oceane.mu/","+230 480 2767",
"One&Only Le Saint Geran","hotel","East","https://www.oneandonlyresorts.com","+230 401 1688",
"Otayo Mauritius","tour","Central","https://otayo.com/","+230 466 9999",
"Outrigger Mauritius Beach Resort","hotel","South","https://www.outrigger.com/mauritius/outrigger-mauritius-beach-resort","+230 623 5000",
"Pam Golding Properties Mauritius","services","North","https://www.pamgolding.mu/fr/","+230 263 4056",
"Paradis Beachcomber Golf Resort & Spa","hotel","West","https://www.beachcomber-hotels.com/en/hotel/paradis-beachcomber","+230 401 5050",
"Paradise Cove Boutique Hotel","hotel","North","http://www.paradisecovehotel.com/","+230 204 4000",
"Park Lane Properties","services","North","http://www.parklane.mu/","+230 483 7575",
"Phoenix Mall","retail","Central","https://www.ascenciamalls.com/phoenix-mall","+230 697 6208",
"Pingouin Car Rental","car_rental","Central","https://www.carrental-mauritius.com/","+230 637 8080",
"Port Louis Central Market","retail","Port Louis","","",
"Pro Dive Mauritius","tour","North","http://www.prodivemauritius.com/","+230 265 6213",
"Quatre Bornes Market","retail","Central","","",
"Radisson Blu Azuri Resort","hotel","North","https://www.radissonhotels.com","+230 204 7000",
"Ravior Jewellery","retail","Port Louis","http://www.ravior.com/","+230 471 2130",
"Recif Attitude","hotel","North","https://hotels-attitude.com/en/recif-attitude","+230 204 2800",
"Rentiles Mauritius","car_rental","Central","https://www.mauritiuscarental.com/","+230 5257 4888",
"Riche Terre Mall","retail","North","https://www.ascenciamalls.com/riche-terre-mall","+230 249 0037",
"Rose Hill Market","retail","Central","","+230 465 5489",
"Royal Adventure Cars","car_rental","Central","https://www.royaladventurecars.com/","+230 5251 4101",
"Royal Car Rental","car_rental","Central","https://www.carrentalmauritius.com/","+230 5926 7799",
"Royal Palm Beachcomber","hotel","North","https://www.beachcomber-hotels.com/en/hotel/royal-palm-beachcomber-luxury","+230 209 8300",
"Ruisseau Creole","restaurant","West","http://www.ruisseaucreole.com/","+230 483 4000",
"Sakura Japanese Restaurant","restaurant","Central","https://www.sakurasteakhouse.com/","+1 703-356-6444",
"Salt of Palmar","hotel","East","https://www.saltresorts.com/en/mauritius/hotel/saltofpalmar","+230 401 8500",
"Sands Suites Resort & Spa","hotel","West","https://sands.mu/","+230 403 1200",
"Scuba World Diving Mauritius","tour","South","http://www.scubaworld-mauritius.com/","+230 5944 9163",
"Seapoint Boutique Hotel","hotel","North","https://searesortshotels.com/seapoint/","+230 209 1055",
"Seastar Hotel","hotel","West","https://www.seastarmauritius.com/","+230 453 0055",
"Seg Mauritian Diner","restaurant","North","https://chezram.com/sp/","+230 263 8569",
"Seven Colours Wellness Lounge","spa","South","https://www.sevencolours.mu/spa-veranda-resorts.html","+230 460 0492",
"Shandrani Beachcomber Resort & Spa","hotel","South","https://www.beachcomber-hotels.com/en/hotel/shandrani-beachcomber","+230 603 4100",
"Shangri-La Le Touessrok","hotel","East","http://www.shangri-la.com/mauritius","+230 402 7400",
"Shangri-La Le Touessrok Resort & Spa","hotel","East","https://www.shangri-la.com","+230 402 7400",
"Shanti Maurice Nira Spa","spa","South","http://shantimaurice.com/","+230 603 7200",
"Sixt Mauritius","car_rental","Central","https://www.sixt.com/car-rental/mauritius/plaisance/mauritius-airport/?utm_source=google_business&utm_medium=organic&utm_campaign=Listings&c1=MU&c2=plaisance&c3=mauritius-airport&fir=1","+230 5250 9999",
"So Flo","retail","West","https://www.ascenciamalls.com/","+230 606 3131",
"Sofitel Mauritius L'Imperial Resort","hotel","West","https://www.sofitel.com","+230 453 8700",
"Solar Sea Walk","tour","North","http://www.solarseawalk.com/","+230 5253 6961",
"SPARC Mauritius","services","West","https://sparc.mu/","+230 401 6611",
"Sugar Beach Mauritius","hotel","West","https://www.sugarresorts.com","+230 453 9090",
"Sun Divers Mauritius","tour","West","https://www.sundiversmauritius.com/","+230 5972 1504",
"Sunset Boulevard","retail","North","","",
"Super U Grand Baie","retail","North","http://www.superu.mu/","+230 263 0502",
"Synergy Sport & Wellness Institute","services","Central","http://www.synergy.mu/","+230 433 8666",
"Tamarin Shopping Centre","retail","West","http://www.superu.mu/","+230 484 0062",
"Tandoori Express","restaurant","Port Louis","","+230 210 9898",
"Thai Sabai Spa","spa","North","https://sabaithai.com/locations/sabai-thai-spa-north-vancouver/","+1 604-985-8896",
"The Hungry Crocodile","restaurant","South","http://lavanille-naturepark.com/","+230 626 2503",
"The Oberoi Beach Resort","hotel","North","https://www.oberoihotels.com/hotels-in-mauritius/?utm_source=GMBlisting&utm_medium=organic","+230 204 3600",
"The Pilates & Yoga Studio Tamarin","spa","West","https://www.pilates-tamarin.mu/","+230 5729 1136",
"The Ravenala Attitude","hotel","North","https://hotels-attitude.com/en/the-ravenala-attitude","+230 204 3000",
"The Residence Mauritius","hotel","East","https://www.cenizaro.com/theresidence/mauritius?utm_source=google&utm_medium=organic&utm_campaign=mauritius","+230 401 8888",
"The St. Regis Le Morne","hotel","West","https://www.marriott.com/en-us/hotels/mruxm-the-st-regis-le-morne-resort-mauritius/overview/?cid=NAT_google_hotel_url","+230 403 9000",
"TravelHub Mauritius","tour","North","https://travelhub-mu.com/","+230 5955 0305",
"Trianon Shopping Park","retail","Central","http://www.lacity-trianon.com/","+230 466 8985",
"Tropic Photography Mauritius","services","North","https://www.tropicpix.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=15414709431719180682","+230 5829 3702",
"Tropical Attitude","hotel","East","https://hotels-attitude.com/en/tropical-attitude","+230 480 1300",
"Veranda Pointe aux Biches","hotel","North","https://www.veranda-resorts.com/en/mauritius-hotel-veranda-pointe-aux-biches","+230 265 5901",
"Veranda Tamarin Hotel & Spa","hotel","West","https://www.veranda-resorts.com/en/mauritius-hotel-tamarin","+230 483 3100",
"Vertical World","tour","Central","http://www.verticalworldltd.com/","",
"Victoria Urban Terminal","retail","Port Louis","https://www.facebook.com/VUTMauritius/","+230 214 3200",
"Vitamin Sea Mauritius","tour","West","https://www.vitaminsealtd.com/","+230 5490 1450",
"Wapalapam","restaurant","West","http://wapalapam.com/","+230 450 5087",
"Yanature","tour","Central","http://www.trekkingmauritius.com/","+230 5251 4050",
"Yemaya Adventures","tour","East","http://www.yemayaadventures.com/","+230 5254 3205",
"Zen Attitude Spa","spa","East","http://www.zenbamboospa.com/","+230 5927 4410",
"Zilwa Attitude","hotel","North","https://hotels-attitude.com/en/zilwa-attitude/","+230 204 9800",
